priority_rank,date_key,store_name,sku_id,sku_name,category,issue_type,risk_score,recommended_action,recommended_quantity,hours_to_stockout,expected_impact,source_store,destination_store,reason
427,20260629,BEN_DS_02,166,STAP_ATTA_16,Staples,Stock Below Reorder Point,30,Scheduled Replenishment,156,29.9,Protects $0.00 sales exposure; targets 192 units,Regional Distribution Center,BEN_DS_02,Projected inventory (40) breached ROP (120). Target: 192.
428,20260629,BEN_DS_01,273,PET _PET _03,Pet Care,Stock Below Reorder Point,30,Scheduled Replenishment,24,30.2,Protects $0.00 sales exposure; targets 29 units,Regional Distribution Center,BEN_DS_01,Projected inventory (6) breached ROP (19). Target: 29.
429,20260629,MUM_DS_03,130,FRUI_CUT _10,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,124,31.3,"Avoids $5,726.32 lost sales; lifts DoC from 1.7 to 3.4d",MUM_DS_02,MUM_DS_03,Destination projected to breach safety stock within 31.3h (DoC: 1.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 5.8km within configured limit.
430,20260629,MUM_DS_08,34,BEVE_ENER_04,Beverages,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,96,31.3,"Avoids $5,990.40 lost sales; lifts DoC from 1.7 to 3.5d",MUM_DS_10,MUM_DS_08,Destination projected to breach safety stock within 31.3h (DoC: 1.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.5d). Distance is 9.6km within configured limit.
431,20260629,HYD_DS_04,9,DAIR_CHEE_09,Dairy,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,64,31.3,"Avoids $10,695.04 lost sales; lifts DoC from 1.7 to 3.5d",HYD_DS_08,HYD_DS_04,Destination projected to breach safety stock within 31.3h (DoC: 1.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.7d). Distance is 1.3km within configured limit.
432,20260629,HYD_DS_04,9,DAIR_CHEE_09,Dairy,Stock Below Reorder Point,30,Scheduled Replenishment,216,31.3,Protects $0.00 sales exposure; targets 272 units,Regional Distribution Center,HYD_DS_04,Projected inventory (63) breached ROP (74). Target: 272.
433,20260629,MUM_DS_06,33,BEVE_TEA _03,Beverages,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,96,31.5,"Avoids $6,946.56 lost sales; lifts DoC from 1.8 to 3.4d",MUM_DS_04,MUM_DS_06,Destination projected to breach safety stock within 31.5h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 3.2km within configured limit.
434,20260629,DEL_DS_04,130,FRUI_CUT _10,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,108,32.0,"Avoids $4,987.44 lost sales; lifts DoC from 1.8 to 3.2d",DEL_DS_06,DEL_DS_04,Destination projected to breach safety stock within 32.0h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 7.3km within configured limit.
435,20260629,BEN_DS_04,3,DAIR_BUTT_03,Dairy,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,120,32.2,"Avoids $8,481.60 lost sales; lifts DoC from 1.8 to 3.3d",BEN_DS_10,BEN_DS_04,Destination projected to breach safety stock within 32.2h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 1.1km within configured limit.
436,20260629,DEL_DS_06,3,DAIR_BUTT_03,Dairy,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,144,32.6,"Avoids $10,177.92 lost sales; lifts DoC from 1.8 to 3.4d",DEL_DS_01,DEL_DS_06,Destination projected to breach safety stock within 32.6h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 6.3km within configured limit.
437,20260629,BEN_DS_10,128,FRUI_DAIL_08,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,72,32.8,"Avoids $7,295.76 lost sales; lifts DoC from 1.8 to 3.4d",BEN_DS_04,BEN_DS_10,Destination projected to breach safety stock within 32.8h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.9d). Distance is 1.1km within configured limit.
438,20260629,MUM_DS_09,124,FRUI_SEAS_04,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,108,32.8,"Avoids $6,627.96 lost sales; lifts DoC from 1.8 to 3.4d",MUM_DS_03,MUM_DS_09,Destination projected to breach safety stock within 32.8h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 13.8km within configured limit.
439,20260629,HYD_DS_10,36,BEVE_JUIC_06,Beverages,Inter-Store Misallocation / Impending Shortage,30,Redistribute Stock,72,32.8,"Avoids $7,008.48 lost sales; lifts DoC from 1.8 to 3.4d",HYD_DS_07,HYD_DS_10,Destination projected to breach safety stock within 32.8h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.1d). Distance is 6.0km within configured limit.
440,20260629,BEN_DS_10,128,FRUI_DAIL_08,Fruits & Vegetables,Stock Below Reorder Point,30,Scheduled Replenishment,264,32.8,Protects $0.00 sales exposure; targets 340 units,Regional Distribution Center,BEN_DS_10,Projected inventory (82) breached ROP (92). Target: 340.
441,20260629,HYD_DS_10,36,BEVE_JUIC_06,Beverages,Stock Below Reorder Point,30,Scheduled Replenishment,258,32.8,Protects $0.00 sales exposure; targets 335 units,Regional Distribution Center,HYD_DS_10,Projected inventory (81) breached ROP (90). Target: 335.
442,20260629,BEN_DS_10,43,BEVE_TEA _13,Beverages,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,176,20.0,"Avoids $6,626.62 lost sales; lifts DoC from 1.1 to 3.4d",BEN_DS_04,BEN_DS_10,Destination projected to breach safety stock within 20.0h (DoC: 1.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.8d). Distance is 1.1km within configured limit.
443,20260629,BEN_DS_10,111,PACK_NOOD_21,Packaged Foods,Stock Below Reorder Point,29,Scheduled Replenishment,168,20.5,"Protects $3,901.44 sales exposure; targets 196 units",Regional Distribution Center,BEN_DS_10,Projected inventory (30) breached ROP (38). Target: 196.
444,20260629,DEL_DS_02,22,DAIR_CURD_22,Dairy,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,120,20.7,"Avoids $6,072.62 lost sales; lifts DoC from 1.1 to 3.3d",DEL_DS_01,DEL_DS_02,Destination projected to breach safety stock within 20.7h (DoC: 1.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 1.2km within configured limit.
445,20260629,HYD_DS_09,233,HOUS_CLEA_23,Household,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,24,20.7,"Avoids $3,886.32 lost sales; lifts DoC from 1.1 to 3.1d",HYD_DS_08,HYD_DS_09,Destination projected to breach safety stock within 20.7h (DoC: 1.1d). Source retains surplus stock above protection threshold (Post-transfer DoC: 24.4d). Distance is 1.6km within configured limit.
446,20260629,HYD_DS_09,233,HOUS_CLEA_23,Household,Stock Below Reorder Point,29,Scheduled Replenishment,84,20.7,"Protects $1,977.17 sales exposure; targets 94 units",Regional Distribution Center,HYD_DS_09,Projected inventory (14) breached ROP (57). Target: 94.
447,20260629,MUM_DS_03,96,PACK_NOOD_06,Packaged Foods,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,60,20.9,"Avoids $10,840.20 lost sales; lifts DoC from 1.2 to 2.9d",MUM_DS_04,MUM_DS_03,Destination projected to breach safety stock within 20.9h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 0.9km within configured limit.
448,20260629,DEL_DS_04,148,FRUI_DAIL_28,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,152,20.9,"Avoids $10,125.04 lost sales; lifts DoC from 1.2 to 3.4d",DEL_DS_03,DEL_DS_04,Destination projected to breach safety stock within 20.9h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.8d). Distance is 9.4km within configured limit.
449,20260629,MUM_DS_03,96,PACK_NOOD_06,Packaged Foods,Stock Below Reorder Point,29,Scheduled Replenishment,228,20.9,"Protects $6,233.12 sales exposure; targets 260 units",Regional Distribution Center,MUM_DS_03,Projected inventory (40) breached ROP (70). Target: 260.
450,20260629,MUM_DS_03,159,STAP_EDIB_09,Staples,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,84,21.1,"Avoids $41,462.94 lost sales; lifts DoC from 1.2 to 3.5d",MUM_DS_04,MUM_DS_03,Destination projected to breach safety stock within 21.1h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.3d). Distance is 0.9km within configured limit.
451,20260629,DEL_DS_06,98,PACK_SAUC_08,Packaged Foods,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,36,21.1,"Avoids $7,999.92 lost sales; lifts DoC from 1.2 to 3.2d",DEL_DS_05,DEL_DS_06,Destination projected to breach safety stock within 21.1h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.4d). Distance is 4.7km within configured limit.
452,20260629,MUM_DS_03,159,STAP_EDIB_09,Staples,Stock Below Reorder Point,29,Scheduled Replenishment,236,21.1,"Protects $20,568.98 sales exposure; targets 278 units",Regional Distribution Center,MUM_DS_03,Projected inventory (43) breached ROP (95). Target: 278.
453,20260629,DEL_DS_06,98,PACK_SAUC_08,Packaged Foods,Stock Below Reorder Point,29,Scheduled Replenishment,120,21.1,"Protects $3,999.96 sales exposure; targets 136 units",Regional Distribution Center,DEL_DS_06,Projected inventory (21) breached ROP (37). Target: 136.
454,20260629,MUM_DS_02,140,FRUI_CUT _20,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,112,21.2,"Avoids $5,568.18 lost sales; lifts DoC from 1.2 to 3.4d",MUM_DS_04,MUM_DS_02,Destination projected to breach safety stock within 21.2h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.6d). Distance is 6.5km within configured limit.
455,20260629,MUM_DS_02,140,FRUI_CUT _20,Fruits & Vegetables,Stock Below Reorder Point,29,Scheduled Replenishment,320,21.2,"Protects $2,768.26 sales exposure; targets 378 units",Regional Distribution Center,MUM_DS_02,Projected inventory (60) breached ROP (74). Target: 378.
456,20260629,MUM_DS_02,148,FRUI_DAIL_28,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,184,21.4,"Avoids $12,089.60 lost sales; lifts DoC from 1.2 to 3.5d",MUM_DS_03,MUM_DS_02,Destination projected to breach safety stock within 21.4h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 5.8km within configured limit.
457,20260629,MUM_DS_01,101,PACK_NOOD_11,Packaged Foods,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,90,21.4,"Avoids $10,474.40 lost sales; lifts DoC from 1.2 to 3.5d",MUM_DS_09,MUM_DS_01,Destination projected to breach safety stock within 21.4h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.2d). Distance is 7.2km within configured limit.
458,20260629,BEN_DS_10,147,FRUI_EXOT_27,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,80,21.4,"Avoids $1,672.00 lost sales; lifts DoC from 1.2 to 2.6d",BEN_DS_04,BEN_DS_10,Destination projected to breach safety stock within 21.4h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 1.1km within configured limit.
459,20260629,MUM_DS_02,148,FRUI_DAIL_28,Fruits & Vegetables,Stock Below Reorder Point,29,Scheduled Replenishment,512,21.4,"Protects $6,017.60 sales exposure; targets 601 units",Regional Distribution Center,MUM_DS_02,Projected inventory (95) breached ROP (203). Target: 601.
460,20260629,MUM_DS_01,101,PACK_NOOD_11,Packaged Foods,Stock Below Reorder Point,29,Scheduled Replenishment,252,21.4,"Protects $5,180.90 sales exposure; targets 299 units",Regional Distribution Center,MUM_DS_01,Projected inventory (47) breached ROP (102). Target: 299.
461,20260629,BEN_DS_10,147,FRUI_EXOT_27,Fruits & Vegetables,Stock Below Reorder Point,29,Scheduled Replenishment,360,21.4,"Protects $1,161.41 sales exposure; targets 422 units",Regional Distribution Center,BEN_DS_10,Projected inventory (66) breached ROP (145). Target: 422.
462,20260629,BEN_DS_05,290,PET _PET _20,Pet Care,Stock Below Reorder Point,29,Scheduled Replenishment,24,24.3,Protects $0.00 sales exposure; targets 29 units,Regional Distribution Center,BEN_DS_05,Projected inventory (5) breached ROP (11). Target: 29.
463,20260629,MUM_DS_06,160,STAP_SPIC_10,Staples,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,68,32.6,"Avoids $12,312.08 lost sales; lifts DoC from 1.8 to 3.5d",MUM_DS_10,MUM_DS_06,Destination projected to breach safety stock within 32.6h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.5d). Distance is 3.0km within configured limit.
464,20260629,MUM_DS_06,160,STAP_SPIC_10,Staples,Stock Below Reorder Point,29,Scheduled Replenishment,256,32.6,Protects $0.00 sales exposure; targets 327 units,Regional Distribution Center,MUM_DS_06,Projected inventory (73) breached ROP (124). Target: 327.
465,20260629,DEL_DS_06,10,DAIR_PANE_10,Dairy,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,112,33.1,"Avoids $11,670.40 lost sales; lifts DoC from 1.8 to 3.5d",DEL_DS_05,DEL_DS_06,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 4.7km within configured limit.
466,20260629,MUM_DS_06,66,SNAC_CHIP_06,Snacks,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,112,33.5,"Avoids $5,140.80 lost sales; lifts DoC from 1.9 to 3.4d",MUM_DS_10,MUM_DS_06,Destination projected to breach safety stock within 33.5h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 3.0km within configured limit.
467,20260629,DEL_DS_04,33,BEVE_TEA _03,Beverages,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,88,33.7,"Avoids $6,367.68 lost sales; lifts DoC from 1.9 to 3.4d",DEL_DS_03,DEL_DS_04,Destination projected to breach safety stock within 33.7h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 9.4km within configured limit.
468,20260629,DEL_DS_06,31,BEVE_JUIC_01,Beverages,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,132,33.7,"Avoids $12,463.44 lost sales; lifts DoC from 1.9 to 3.4d",DEL_DS_05,DEL_DS_06,Destination projected to breach safety stock within 33.7h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.8d). Distance is 4.7km within configured limit.
469,20260629,MUM_DS_06,34,BEVE_ENER_04,Beverages,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,72,33.7,"Avoids $4,492.80 lost sales; lifts DoC from 1.9 to 3.1d",MUM_DS_10,MUM_DS_06,Destination projected to breach safety stock within 33.7h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 3.0km within configured limit.
470,20260629,DEL_DS_06,31,BEVE_JUIC_01,Beverages,Stock Below Reorder Point,29,Scheduled Replenishment,504,33.7,Protects $0.00 sales exposure; targets 662 units,Regional Distribution Center,DEL_DS_06,Projected inventory (161) breached ROP (318). Target: 662.
471,20260629,BEN_DS_09,36,BEVE_JUIC_06,Beverages,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,72,33.8,"Avoids $7,008.48 lost sales; lifts DoC from 1.9 to 3.5d",BEN_DS_08,BEN_DS_09,Destination projected to breach safety stock within 33.8h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.5d). Distance is 2.2km within configured limit.
472,20260629,MUM_DS_02,62,SNAC_BISC_02,Snacks,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,72,33.8,"Avoids $11,070.00 lost sales; lifts DoC from 1.9 to 2.9d",MUM_DS_04,MUM_DS_02,Destination projected to breach safety stock within 33.8h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 6.5km within configured limit.
473,20260629,BEN_DS_09,36,BEVE_JUIC_06,Beverages,Stock Below Reorder Point,29,Scheduled Replenishment,246,33.8,Protects $0.00 sales exposure; targets 329 units,Regional Distribution Center,BEN_DS_09,Projected inventory (83) breached ROP (86). Target: 329.
474,20260629,MUM_DS_02,62,SNAC_BISC_02,Snacks,Stock Below Reorder Point,29,Scheduled Replenishment,432,33.8,Protects $0.00 sales exposure; targets 558 units,Regional Distribution Center,MUM_DS_02,Projected inventory (139) breached ROP (188). Target: 558.
475,20260629,BEN_DS_02,38,BEVE_TEA _08,Beverages,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,96,34.2,"Avoids $4,638.72 lost sales; lifts DoC from 1.9 to 3.4d",BEN_DS_03,BEN_DS_02,Destination projected to breach safety stock within 34.2h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 4.8km within configured limit.
476,20260629,BEN_DS_05,65,SNAC_NUTS_05,Snacks,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,96,34.2,"Avoids $12,888.96 lost sales; lifts DoC from 1.9 to 3.5d",BEN_DS_10,BEN_DS_05,Destination projected to breach safety stock within 34.2h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.4d). Distance is 3.8km within configured limit.
477,20260629,DEL_DS_01,35,BEVE_WATE_05,Beverages,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,72,34.2,"Avoids $11,402.64 lost sales; lifts DoC from 1.9 to 3.4d",DEL_DS_08,DEL_DS_01,Destination projected to breach safety stock within 34.2h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 9.9d). Distance is 1.2km within configured limit.
478,20260629,DEL_DS_01,61,SNAC_CHIP_01,Snacks,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,96,34.2,"Avoids $2,172.48 lost sales; lifts DoC from 1.9 to 3.5d",DEL_DS_02,DEL_DS_01,Destination projected to breach safety stock within 34.2h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.9d). Distance is 1.2km within configured limit.
479,20260629,MUM_DS_09,62,SNAC_BISC_02,Snacks,Inter-Store Misallocation / Impending Shortage,29,Redistribute Stock,96,34.2,"Avoids $14,760.00 lost sales; lifts DoC from 1.9 to 3.2d",MUM_DS_05,MUM_DS_09,Destination projected to breach safety stock within 34.2h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.2d). Distance is 4.5km within configured limit.
480,20260629,BEN_DS_02,38,BEVE_TEA _08,Beverages,Stock Below Reorder Point,29,Scheduled Replenishment,360,34.2,Protects $0.00 sales exposure; targets 468 units,Regional Distribution Center,BEN_DS_02,Projected inventory (119) breached ROP (124). Target: 468.
481,20260629,BEN_DS_05,65,SNAC_NUTS_05,Snacks,Stock Below Reorder Point,29,Scheduled Replenishment,360,34.2,Protects $0.00 sales exposure; targets 460 units,Regional Distribution Center,BEN_DS_05,Projected inventory (116) breached ROP (123). Target: 460.
482,20260629,DEL_DS_01,35,BEVE_WATE_05,Beverages,Stock Below Reorder Point,29,Scheduled Replenishment,288,34.2,Protects $0.00 sales exposure; targets 376 units,Regional Distribution Center,DEL_DS_01,Projected inventory (94) breached ROP (178). Target: 376.
483,20260629,DEL_DS_01,61,SNAC_CHIP_01,Snacks,Stock Below Reorder Point,29,Scheduled Replenishment,360,34.2,Protects $0.00 sales exposure; targets 460 units,Regional Distribution Center,DEL_DS_01,Projected inventory (114) breached ROP (220). Target: 460.
484,20260629,MUM_DS_09,62,SNAC_BISC_02,Snacks,Stock Below Reorder Point,29,Scheduled Replenishment,408,34.2,Protects $0.00 sales exposure; targets 543 units,Regional Distribution Center,MUM_DS_09,Projected inventory (137) breached ROP (183). Target: 543.
485,20260629,MUM_DS_01,89,SNAC_CHOC_29,Snacks,Stock Below Reorder Point,29,Scheduled Replenishment,360,40.3,Protects $0.00 sales exposure; targets 479 units,Regional Distribution Center,MUM_DS_01,Projected inventory (126) breached ROP (169). Target: 479.
486,20260629,DEL_DS_04,237,HOUS_DISH_27,Household,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,8,13.0,"Avoids $1,916.16 lost sales; lifts DoC from 0.7 to 1.7d",DEL_DS_06,DEL_DS_04,Destination projected to breach safety stock within 13.0h (DoC: 0.7d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 7.3km within configured limit.
487,20260629,HYD_DS_10,247,BABY_BABY_07,Baby Care,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,40,21.8,"Avoids $16,166.40 lost sales; lifts DoC from 1.2 to 2.6d",HYD_DS_07,HYD_DS_10,Destination projected to breach safety stock within 21.8h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 6.0km within configured limit.
488,20260629,MUM_DS_01,106,PACK_NOOD_16,Packaged Foods,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,72,21.8,"Avoids $14,723.80 lost sales; lifts DoC from 1.2 to 3.3d",MUM_DS_09,MUM_DS_01,Destination projected to breach safety stock within 21.8h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.0d). Distance is 7.2km within configured limit.
489,20260629,MUM_DS_02,157,STAP_RICE_07,Staples,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,24,21.8,"Avoids $3,438.00 lost sales; lifts DoC from 1.2 to 2.1d",MUM_DS_04,MUM_DS_02,Destination projected to breach safety stock within 21.8h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 6.5km within configured limit.
490,20260629,HYD_DS_10,247,BABY_BABY_07,Baby Care,Stock Below Reorder Point,28,Scheduled Replenishment,184,21.8,"Protects $11,979.30 sales exposure; targets 219 units",Regional Distribution Center,HYD_DS_10,Projected inventory (36) breached ROP (41). Target: 219.
491,20260629,MUM_DS_01,106,PACK_NOOD_16,Packaged Foods,Stock Below Reorder Point,28,Scheduled Replenishment,224,21.8,"Protects $7,271.45 sales exposure; targets 263 units",Regional Distribution Center,MUM_DS_01,Projected inventory (42) breached ROP (91). Target: 263.
492,20260629,MUM_DS_02,157,STAP_RICE_07,Staples,Stock Below Reorder Point,28,Scheduled Replenishment,162,21.8,"Protects $3,672.93 sales exposure; targets 191 units",Regional Distribution Center,MUM_DS_02,Projected inventory (31) breached ROP (37). Target: 191.
493,20260629,BEN_DS_02,142,FRUI_EXOT_22,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,144,22.3,"Avoids $8,320.00 lost sales; lifts DoC from 1.2 to 3.5d",BEN_DS_03,BEN_DS_02,Destination projected to breach safety stock within 22.3h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.2d). Distance is 4.8km within configured limit.
494,20260629,HYD_DS_10,71,SNAC_CHIP_11,Snacks,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,102,22.3,"Avoids $6,412.68 lost sales; lifts DoC from 1.2 to 3.4d",HYD_DS_04,HYD_DS_10,Destination projected to breach safety stock within 22.3h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.6d). Distance is 8.0km within configured limit.
495,20260629,MUM_DS_02,46,BEVE_JUIC_16,Beverages,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,216,22.3,"Avoids $6,189.51 lost sales; lifts DoC from 1.2 to 3.5d",MUM_DS_03,MUM_DS_02,Destination projected to breach safety stock within 22.3h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.4d). Distance is 5.8km within configured limit.
496,20260629,BEN_DS_02,142,FRUI_EXOT_22,Fruits & Vegetables,Stock Below Reorder Point,28,Scheduled Replenishment,408,22.3,"Protects $4,136.96 sales exposure; targets 485 units",Regional Distribution Center,BEN_DS_02,Projected inventory (80) breached ROP (129). Target: 485.
497,20260629,HYD_DS_10,71,SNAC_CHIP_11,Snacks,Stock Below Reorder Point,28,Scheduled Replenishment,294,22.3,"Protects $3,192.01 sales exposure; targets 349 units",Regional Distribution Center,HYD_DS_10,Projected inventory (58) breached ROP (92). Target: 349.
498,20260629,MUM_DS_02,46,BEVE_JUIC_16,Beverages,Stock Below Reorder Point,28,Scheduled Replenishment,624,22.3,"Protects $3,088.02 sales exposure; targets 725 units",Regional Distribution Center,MUM_DS_02,Projected inventory (119) breached ROP (243). Target: 725.
499,20260629,MUM_DS_02,54,BEVE_ENER_24,Beverages,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,192,22.5,"Avoids $14,598.27 lost sales; lifts DoC from 1.2 to 3.5d",MUM_DS_04,MUM_DS_02,Destination projected to breach safety stock within 22.5h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 6.5km within configured limit.
500,20260629,MUM_DS_02,103,PACK_SAUC_13,Packaged Foods,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,32,22.5,"Avoids $4,129.92 lost sales; lifts DoC from 1.2 to 2.5d",MUM_DS_03,MUM_DS_02,Destination projected to breach safety stock within 22.5h (DoC: 1.2d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 5.8km within configured limit.
501,20260629,MUM_DS_02,54,BEVE_ENER_24,Beverages,Stock Below Reorder Point,28,Scheduled Replenishment,552,22.5,"Protects $7,293.16 sales exposure; targets 639 units",Regional Distribution Center,MUM_DS_02,Projected inventory (107) breached ROP (169). Target: 639.
502,20260629,MUM_DS_08,111,PACK_NOOD_21,Packaged Foods,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,52,22.7,"Avoids $7,123.20 lost sales; lifts DoC from 1.3 to 3.4d",MUM_DS_07,MUM_DS_08,Destination projected to breach safety stock within 22.7h (DoC: 1.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.8d). Distance is 1.7km within configured limit.
503,20260629,MUM_DS_08,111,PACK_NOOD_21,Packaged Foods,Stock Below Reorder Point,28,Scheduled Replenishment,148,22.7,"Protects $3,540.82 sales exposure; targets 178 units",Regional Distribution Center,MUM_DS_08,Projected inventory (30) breached ROP (34). Target: 178.
504,20260629,HYD_DS_09,206,PERS_SOAP_26,Personal Care,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,12,22.9,"Avoids $1,093.62 lost sales; lifts DoC from 1.3 to 3.5d",HYD_DS_08,HYD_DS_09,Destination projected to breach safety stock within 22.9h (DoC: 1.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.5d). Distance is 1.6km within configured limit.
505,20260629,HYD_DS_09,206,PERS_SOAP_26,Personal Care,Stock Below Reorder Point,28,Scheduled Replenishment,36,22.9,Protects $546.81 sales exposure; targets 43 units,Regional Distribution Center,HYD_DS_09,Projected inventory (7) breached ROP (15). Target: 43.
506,20260629,MUM_DS_02,172,STAP_RICE_22,Staples,Inter-Store Misallocation / Impending Shortage,28,Redistribute Stock,40,23.2,"Avoids $17,655.60 lost sales; lifts DoC from 1.3 to 2.5d",MUM_DS_04,MUM_DS_02,Destination projected to breach safety stock within 23.2h (DoC: 1.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 6.5km within configured limit.
